participante,seg_id,bpm_watch,pred_final
21,400,74.56360491147805,67.66797224836642
21,400,74.13038119340871,67.66797224836642
21,400,73.25246820652812,67.66797224836642
21,800,86.08465365455264,69.22294646877617
21,800,82.85997623860578,69.22294646877617
21,800,80.65129566770612,69.22294646877617
21,800,79.6823987275491,69.22294646877617
21,800,79.69383705356421,69.22294646877617
21,1600,76.4961813120615,82.81416018342347
21,1600,81.16524650482906,82.81416018342347
21,1600,86.8361127605686,82.81416018342347
21,1600,92.31899638588813,82.81416018342347
21,1600,96.7932240249746,82.81416018342347
22,600,72.44636006107578,68.69829839290722
22,600,70.45120250156947,68.69829839290722
22,600,69.97677661515934,68.69829839290722
22,600,70.64811456389242,68.69829839290722
22,600,71.28437034825741,68.69829839290722
22,700,72.21347151281594,69.89095205118402
22,700,72.37767502704224,69.89095205118402
22,700,72.87620697506578,69.89095205118402
22,700,73.52693622989571,69.89095205118402
22,700,74.55771287053192,69.89095205118402
22,1200,66.50932132396497,68.54612024579684
22,1200,61.82226798581636,68.54612024579684
22,1200,56.921746578361045,68.54612024579684
22,1200,54.30939925924524,68.54612024579684
22,1200,53.5110968818908,68.54612024579684
22,1400,65.56052582810968,72.36078678080212
22,1400,66.09395830073913,72.36078678080212
22,1400,67.22424869960521,72.36078678080212
22,1400,68.93262890830184,72.36078678080212
22,1400,69.21039826787396,72.36078678080212
23,100,98.43305552810818,93.1828741151158
23,100,97.06040265147304,93.1828741151158
23,100,97.54488471462612,93.1828741151158
23,100,98.81319932256426,93.1828741151158
23,100,100.79410936512473,93.1828741151158
23,300,102.9567523868569,94.6777654203863
23,300,102.4888631383062,94.6777654203863
23,300,101.25535267854666,94.6777654203863
23,300,100.1992235959866,94.6777654203863
23,300,100.44072970758788,94.6777654203863
23,1300,74.42148908642461,91.95680743306004
23,1300,73.82479952424121,91.95680743306004
23,1300,74.02156028788842,91.95680743306004
23,1300,74.45259785590233,91.95680743306004
23,1300,74.91962055540704,91.95680743306004
23,1700,119.92776473321956,102.32329175768443
23,1700,118.63840952910388,102.32329175768443
23,1700,117.05889047079788,102.32329175768443
23,1700,115.93751983374229,102.32329175768443
23,1700,114.78024729639937,102.32329175768443
24,100,98.40061771745803,95.40532852869906
24,100,96.1331286495382,95.40532852869906
24,100,94.33101041420196,95.40532852869906
24,100,94.66791791317269,95.40532852869906
24,100,95.63223999537428,95.40532852869906
24,600,102.38668787857844,92.71237240099649
24,600,103.26521341934864,92.71237240099649
24,600,103.88165253798168,92.71237240099649
24,600,104.15989579318406,92.71237240099649
24,600,103.76107381779546,92.71237240099649
24,900,105.53676372922034,92.89026613655456
24,900,103.90209211353618,92.89026613655456
24,900,101.95833076419252,92.89026613655456
24,900,99.7292570580652,92.89026613655456
24,900,97.42036758133324,92.89026613655456
24,1300,84.8522905708266,93.71990959420764
24,1300,84.31215861184256,93.71990959420764
24,1300,83.81865211833606,93.71990959420764
24,1300,83.33600505750417,93.71990959420764
24,1300,83.02156489140167,93.71990959420764
25,100,78.37394758065541,80.70702264562684
25,100,78.50351033768096,80.70702264562684
25,100,79.14620127574706,80.70702264562684
25,100,79.90870964960618,80.70702264562684
25,100,80.68807400408245,80.70702264562684
25,900,86.20909470868487,88.87306456757752
25,900,83.5950859684965,88.87306456757752
25,900,82.84342398406108,88.87306456757752
25,900,83.68813188581755,88.87306456757752
25,900,84.54971679629702,88.87306456757752
25,1200,67.21949392108174,79.51706876924854
25,1200,64.50829492151996,79.51706876924854
25,1200,62.44133659719905,79.51706876924854
25,1200,62.58794236348306,79.51706876924854
25,1200,62.66174488653352,79.51706876924854
25,1400,68.7316873562316,81.275271921274
25,1400,69.39624348948594,81.275271921274
25,1400,72.01918000155148,81.275271921274
25,1400,74.10187090240197,81.275271921274
25,1400,73.9843980362805,81.275271921274
26,0,92.0,86.73974798579275
26,0,92.0,86.73974798579275
26,0,92.0,86.73974798579275
26,0,92.0,86.73974798579275
26,0,92.0,86.73974798579275
26,300,83.71574407878894,81.92325695299795
26,300,85.19011649951274,81.92325695299795
26,300,86.99754613756616,81.92325695299795
26,300,87.4474160858047,81.92325695299795
26,300,88.31203263539103,81.92325695299795
26,400,85.62568439357348,82.93309085436384
26,400,82.42755765326612,82.93309085436384
26,400,80.95971562511478,82.93309085436384
26,400,80.64376447149169,82.93309085436384
26,400,80.65555466588957,82.93309085436384
26,800,99.8287341206006,82.27645519776026
26,800,97.0906310799834,82.27645519776026
26,800,94.41199494966698,82.27645519776026
26,800,93.33749468016931,82.27645519776026
26,800,93.8385572937144,82.27645519776026
27,1300,80.11508176164195,97.92373742316525
27,1300,78.89286874315955,97.92373742316525
27,1300,77.63184139659755,97.92373742316525
27,1300,77.0785689451797,97.92373742316525
27,1300,76.61158133437756,97.92373742316525
27,1400,81.00881325780888,100.84546104924836
27,1400,81.31451967309563,100.84546104924836
27,1400,82.67228174199275,100.84546104924836
27,1400,84.27728875861993,100.84546104924836
27,1400,84.40995990273386,100.84546104924836
27,1500,86.27840375241779,99.95649301354158
27,1500,90.82965699470404,99.95649301354158
27,1500,95.46962351241667,99.95649301354158
27,1500,99.7465034141169,99.95649301354158
27,1500,103.63899875120684,99.95649301354158
27,1700,125.72084765130651,99.61868285711728
27,1700,125.58869990020088,99.61868285711728
27,1700,123.234502182172,99.61868285711728
27,1700,120.4199429627621,99.61868285711728
27,1700,118.07475994758276,99.61868285711728
28,400,95.76715764638148,92.4966187610082
28,400,92.2363507183083,92.4966187610082
28,400,89.69681860894866,92.4966187610082
28,400,88.82527756752907,92.4966187610082
28,400,88.19774513858736,92.4966187610082
28,800,94.876733995853,88.2688059012846
28,800,94.07865258078556,88.2688059012846
28,800,93.70442065511428,88.2688059012846
28,800,93.80139027281756,88.2688059012846
28,800,94.24504263524112,88.2688059012846
28,1400,85.58950725263165,89.14672604304019
28,1400,86.68080390242787,89.14672604304019
28,1400,87.59430956656283,89.14672604304019
28,1400,88.5043880534146,89.14672604304019
28,1400,89.48398985189885,89.14672604304019
28,1500,99.29384944763191,88.1308260028513
28,1500,101.76858540799196,88.1308260028513
28,1500,103.08881850252936,88.1308260028513
28,1500,102.19529800621464,88.1308260028513
28,1500,99.54230873915024,88.1308260028513
29,100,76.6506954487268,85.26994933399835
29,100,76.66810294405207,85.26994933399835
29,100,76.90194984080986,85.26994933399835
29,100,77.90528539475942,85.26994933399835
29,100,78.86958924196499,85.26994933399835
29,200,79.4146866402386,84.39312340668121
29,200,80.56902928474501,84.39312340668121
29,200,81.756755080574,84.39312340668121
29,200,82.2199921680219,84.39312340668121
29,200,83.22759713738137,84.39312340668121
29,800,102.01344250058712,91.96222343713748
29,800,101.22718964520988,91.96222343713748
29,800,102.42740355146913,91.96222343713748
29,800,104.5007974859956,91.96222343713748
29,800,106.5608976994336,91.96222343713748
29,1700,100.39839645436255,93.25792586647012
29,1700,100.19051312002894,93.25792586647012
29,1700,100.7862279784402,93.25792586647012
29,1700,101.70988863610344,93.25792586647012
29,1700,102.88900557916878,93.25792586647012
30,0,111.0,105.41987249673176
30,0,111.0,105.41987249673176
30,0,111.0,105.41987249673176
30,0,111.0,105.41987249673176
30,0,111.0,105.41987249673176
30,400,111.70181728513728,109.11693331647378
30,400,110.3134616055014,109.11693331647378
30,400,109.18469748373155,109.11693331647378
30,400,108.61492875086796,109.11693331647378
30,400,109.02213636914009,109.11693331647378
30,1000,84.25191974725628,100.65558091176831
30,1000,83.00391549578993,100.65558091176831
30,1000,82.657934696953,100.65558091176831
30,1000,82.88876234421997,100.65558091176831
30,1000,83.33033636266538,100.65558091176831
30,1100,83.77787788158716,100.63141899083527
30,1100,82.44690456475044,100.63141899083527
30,1100,81.64121846680031,100.63141899083527
30,1100,81.14771197329381,100.63141899083527
30,1100,80.79260353750226,100.63141899083527
31,200,86.6833664661707,92.89389746972225
31,200,85.83475448393717,92.89389746972225
31,200,85.01476913004211,92.89389746972225
31,200,84.57232971026268,92.89389746972225
31,200,85.04791298389674,92.89389746972225
31,300,96.24268841422226,93.9478361358194
31,300,95.6790692466678,93.9478361358194
31,300,96.33424633798144,93.9478361358194
31,300,96.52839999611756,93.9478361358194
31,300,96.74024271779248,93.9478361358194
31,600,104.82590129116636,92.38057027298812
31,600,104.5994978304033,92.38057027298812
31,600,103.57795277550107,92.38057027298812
31,600,102.93451489979054,92.38057027298812
31,600,102.32125452514332,92.38057027298812
31,1500,88.36757170916636,101.90238873211976
31,1500,90.81692106899244,101.90238873211976
31,1500,92.78227537689789,101.90238873211976
31,1500,93.77559890984456,101.90238873211976
31,1500,93.7716853856493,101.90238873211976
