escenario,corrida,seed,modelo,MAE,RMSE,MAPE,r
C: Sedentario + sync estricta,13,13,Baseline,7.4965747142739945,9.583164106322974,9.312226104111664,0.7136911016306174
C: Sedentario + sync estricta,13,13,RF,7.534821963974442,9.607340232661628,9.373354220105606,0.7115390656314844
C: Sedentario + sync estricta,13,13,SVR,7.4916534621182445,9.569664083501952,9.341745285019378,0.7142064182089785
C: Sedentario + sync estricta,14,14,Baseline,8.029944450938448,10.375712354594182,9.726600082102545,0.682345841322727
C: Sedentario + sync estricta,14,14,RF,8.054491792006646,10.354102939627351,9.760820765648724,0.6833038101708486
C: Sedentario + sync estricta,14,14,SVR,8.012333494844931,10.336625450954484,9.74609735249743,0.6830497779569672
C: Sedentario + sync estricta,15,15,Baseline,7.739429883240031,9.894990851297631,9.567385412613106,0.7444057559224881
C: Sedentario + sync estricta,15,15,RF,7.742228530956662,9.862576162347061,9.56967101226322,0.7466384563684221
C: Sedentario + sync estricta,15,15,SVR,7.733241303938193,9.878337714925095,9.598785848554197,0.745083397749914
C: Sedentario + sync estricta,16,16,Baseline,8.659895223581277,11.014751634103575,10.609629848407314,0.6657660195997284
C: Sedentario + sync estricta,16,16,RF,8.586967823535002,10.958647523739216,10.52673483455414,0.6689505251822334
C: Sedentario + sync estricta,16,16,SVR,8.570022747236749,10.96741263657651,10.550840281955038,0.6678855834436035
C: Sedentario + sync estricta,17,17,Baseline,8.35052736117492,10.354157893405382,10.44478681474659,0.6755750006256626
C: Sedentario + sync estricta,17,17,RF,8.330576367803284,10.311767256601387,10.431485246624298,0.6772372391207946
C: Sedentario + sync estricta,17,17,SVR,8.331489066798657,10.333783423499174,10.475623530791532,0.6779233710949688
C: Sedentario + sync estricta,18,18,Baseline,7.576745531820094,9.718219349714555,9.23233152568436,0.7397225674636745
C: Sedentario + sync estricta,18,18,RF,7.541544056070597,9.687772323233474,9.190969459204812,0.7415242196655766
C: Sedentario + sync estricta,18,18,SVR,7.5484463404120286,9.68155823862483,9.213757399010058,0.7411742481627955
C: Sedentario + sync estricta,19,19,Baseline,8.6407530865874,10.829071777752684,10.641267301257932,0.6499670214880151
C: Sedentario + sync estricta,19,19,RF,8.608023961476786,10.764934262427065,10.599585954025475,0.6534740072643567
C: Sedentario + sync estricta,19,19,SVR,8.637565619035682,10.838818195361224,10.682593766207722,0.6485992171727145
C: Sedentario + sync estricta,20,20,Baseline,7.3039146226837435,9.615320733220772,9.00239454409284,0.7128191458982096
C: Sedentario + sync estricta,20,20,RF,7.21866384071439,9.516856835569381,8.889729714952118,0.719168587977719
C: Sedentario + sync estricta,20,20,SVR,7.251168098056419,9.565678174186456,8.97703003875717,0.7177678617292129
C: Sedentario + sync estricta,21,21,Baseline,8.324316835386186,10.292885185326314,10.409157271469775,0.6971919065563075
C: Sedentario + sync estricta,21,21,RF,8.323335246321765,10.273809849032615,10.395934925655956,0.6976145037382206
C: Sedentario + sync estricta,21,21,SVR,8.334039136573528,10.360946756865003,10.480548198961852,0.6953445724919314
C: Sedentario + sync estricta,22,22,Baseline,7.419953539655696,9.273040832852319,9.205366715058041,0.7256485825175314
C: Sedentario + sync estricta,22,22,RF,7.419231914150949,9.225328579305886,9.198278608931162,0.7275262889113312
C: Sedentario + sync estricta,22,22,SVR,7.398038075848899,9.235169276254513,9.219566996597123,0.7279573042755649
C: Sedentario + sync estricta,23,23,Baseline,8.522384789189273,10.617479932745132,10.5992069195451,0.6863526026590865
C: Sedentario + sync estricta,23,23,RF,8.506006132704922,10.585601799519768,10.57818408159789,0.6887334223731983
C: Sedentario + sync estricta,23,23,SVR,8.508982192130722,10.606344267493467,10.636454937960307,0.6876069541759939
C: Sedentario + sync estricta,24,24,Baseline,8.237545486457867,10.520436967955128,10.335948898602467,0.6608785796689759
C: Sedentario + sync estricta,24,24,RF,8.282145089526965,10.515823777933457,10.38725096359205,0.6605406682127296
C: Sedentario + sync estricta,24,24,SVR,8.294151397283258,10.553560035370465,10.43110321836833,0.6595619620837945
C: Sedentario + sync estricta,25,25,Baseline,7.571383282693965,9.443446468714804,9.536965104540236,0.7300010125514197
C: Sedentario + sync estricta,25,25,RF,7.568993635989555,9.417585875912284,9.529123618743467,0.7308790358035033
C: Sedentario + sync estricta,25,25,SVR,7.549331230057233,9.442720601104492,9.55464957020655,0.7311051682203844
C: Sedentario + sync estricta,26,26,Baseline,7.633255135545357,9.626538004130833,9.549964321225799,0.7272105014882847
C: Sedentario + sync estricta,26,26,RF,7.659465531028139,9.625261765268467,9.586739980425845,0.7269517350156697
C: Sedentario + sync estricta,26,26,SVR,7.626668123391968,9.651571473380539,9.588312084237668,0.7263586763748747
C: Sedentario + sync estricta,27,27,Baseline,7.502836964607951,9.74787137787397,9.288297290639111,0.7290908044254445
C: Sedentario + sync estricta,27,27,RF,7.5114380660733735,9.774794597195442,9.293006028881926,0.7273497306759343
C: Sedentario + sync estricta,27,27,SVR,7.4922303203058425,9.758997428120338,9.309405107872239,0.7291678795252081
C: Sedentario + sync estricta,28,28,Baseline,7.859636965944804,9.738959202901357,9.851298190448656,0.716243717585881
C: Sedentario + sync estricta,28,28,RF,7.8248280862856925,9.709793785173146,9.787837809783282,0.7180339217030869
C: Sedentario + sync estricta,28,28,SVR,7.848166117390534,9.72900477036375,9.846526330065803,0.7170828566945804
C: Sedentario + sync estricta,29,29,Baseline,7.6668944904608844,9.704690170991013,9.574259340367766,0.7330741968189537
C: Sedentario + sync estricta,29,29,RF,7.619392965059351,9.654303405142223,9.526803817628354,0.7359463986339965
C: Sedentario + sync estricta,29,29,SVR,7.59722741827898,9.651597287837786,9.511752462953545,0.7365907124687323
C: Sedentario + sync estricta,30,30,Baseline,8.194126310689954,10.39721275038146,10.07405469419609,0.6650200335421771
C: Sedentario + sync estricta,30,30,RF,8.11863136187754,10.330981632683091,9.981451400824445,0.6683566088114927
C: Sedentario + sync estricta,30,30,SVR,8.152714318210363,10.388541907873329,10.053484306133445,0.665886895328487
C: Sedentario + sync estricta,31,31,Baseline,7.91781132916002,10.333441606468208,9.9944206694852,0.6866011311046492
C: Sedentario + sync estricta,31,31,RF,7.870310639046933,10.226107283046874,9.936621343630115,0.6932975728320387
C: Sedentario + sync estricta,31,31,SVR,7.903102283477577,10.281453652107976,10.027595524469818,0.6914927979635461
C: Sedentario + sync estricta,32,32,Baseline,7.827617361791772,9.769651163612998,9.733421447644847,0.7228298890197216
C: Sedentario + sync estricta,32,32,RF,7.776186117686792,9.718195181937737,9.67161180961825,0.7258543026402822
C: Sedentario + sync estricta,32,32,SVR,7.755647172138066,9.685923666064344,9.686652295682997,0.7286635927070637
